id;region_id;name;description;contact_number;address;website_link
415;3;SD SEKOLAH ALAM;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Azis Ismail dan operator yang bernama Firdaus Ockta F;(021) 7875411;Jalan Pembangunan No No.51, RT.2/RW.2, Cipedak, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630;https://sai-cipedak.sch.id/
416;3;SDI Manaratul Islam;Sekolah ini memakai kurikulum 2013. Sekolah ini memiliki kepala sekolah yang bernama Ammar Rulloh dan operator yang bernama Lingga meirudi febriansyah;(021) 75913466;Jl. Madrasah No.12 8, RT.8/RW.1, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420;https://www.sdimanaratulislam.sch.id/
417;3;SD AL-AZHAR SYIFA BUDI JAKARTA;Sekolah Al-Azhar Syifa Budi Jakarta merupakan sekolah nasional berwawasan internasional yang mengimplementasikan sistem Spiritualisasi Pendidikan dalam mewujudkan visi dan misi yang diembannya. Institusi pendidikan unik yang mengejar keunggulan melalui inovasi ini, menciptakan lingkungan islami bagi peserta didik dengan tetap mempertahankan budaya dan karakter positif bangsa Indonesia, untuk mendukung terbangunnya generasi yang unggul. Sekolah Al-Azhar Syifa Budi didirikan pada tahun pelajaran 1979-1980 oleh Yayasan Syifa Budi dan diresmikan oleh Buya Hamka. Dalam pengembangan inovasinya, mulai Tahun Pelajaran 2003-2004 sekolah Al-Azhar Syifa Budi Jakarta menerapkan program Mumtaz School dan Saintifiqiah School dengan model catur tunggal, yaitu memadukan akidah-kebangsaan-sains-teknologi dalam framework Spiritualisasi Pendidikan.;(021) 71793333;Jl. Kemang Raya No.7, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730;https://alazhar.syifabudi.sch.id/about/
418;3;SDI DARUL MUTTAQIEN;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama SITI SURYANI dan operator yang bernama Sri Purwaningsih;(021) 5868179;11, Gg. H. Kasan Misin Haji Kasan No.13, RT.11/RW.2, Petukangan Utara, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12260;-
419;3;SD ISLAM ( PLUS ) AL HASANIAH;Sekolah ini memakai kurikulum 2013. Sekolah ini memiliki kepala sekolah yang bernama Tini Rukmini dan operator yang bernama Sri Herawati;(021) 75911774;Jl. Margasatwa Gang Masjid At-Taubah No.9 4, RT.4/RW.3, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450;-
420;3;SD QLC SCHOOL;Sekolah ini memakai kurikulum 2013 dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Dewi Yanti,se,ak, Mm dan operator yang bernama Herlinah;(021) 7981108;Jl. Kalibata Utara II No.25-26 10, RT.14/RW.7, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740;https://qlcschool.sch.id/
421;3;SDS Tarakanita I;"Sejarah diawali ketika Batavia resmi dijadikan ibukota RI. Mgr. P. Willekens menulis surat kepada Muder Laurentia de Sain, agar Kongregasi CB ambil bagian dalam pengembangan pendidikan di Ibukota. Undangan tersebut baru dapat direspons pada tahun 1953 bersamaan dengan dibukanya novisiat di Kebayoran. Kongregasi CB boleh menggunakan tanah milik keuskupan di Blok B untuk novisiat asal para suster bersedia mengajar di sekolah paroki Strada milik keuskupan. 

Dua novis yaitu Sr. Emmanuella Jansen (kelahiran Bandung) dan Sr. Marije Peters (kelahiran Padang), yang datang dari Belanda bersama Sr. Tiodoro, mengajar di SD Strada. Pada tahun 1954 mereka berdua digantikan oleh Sr. Benedictus dari Yogyakarta karena menyiapkan diri untuk profesi. Pada tahun 1955 Sr. Borromeo Sumirah menggantikan Ibu Sardjana sebagai Kepala Sekolah. Tahun 1957 Yayasan Strada menawarkan kepada Kongregasi untuk mengambil alih sekolah tersebut. Tawaran diterima, walaupun pengambil-alihan baru terlaksana pada tanggal 1 Agustus 1959. Sekolah Strada diganti menjadi sekolah Tarakanita.";(021) 7246564;Jl. Barito II No.54, RT.4/RW.4, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130;https://sd1-jkt.tarakanita.sch.id/
422;3;SD ISLAM DWI MATRA;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama Nindya Sari dan operator yang bernama Yusri Tumanggor;(021) 8311803;Jl. Rasamala Raya No.2 Blok F, RT.8/RW.8, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870;https://sddwimatra.sch.id/
423;3;SD IT AL AZHAR JAGAKARSA;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Nurlaila dan operator yang bernama Jimmy Syafari;(021) 78886992;Jl. Raya Jagakarsa No.16 14, RT.9/RW.1, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620;-
424;3;SD AR RAHMAN MOTIK;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Ernawati dan operator yang bernama Saptiansyah;(021) 52921940;Jalan Setiabudi Utara, Blok. D, No. 1, 2, 3, Setiabudi Utara, Kuningan, RT.5/RW.1, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950;https://arrahmanmotik.com/
