id;region_id;name;description;contact_number;address;website_link
814;5;SD SANTO IGNATIUS;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Sr.gabriella Gowa Keytimu dan operator yang bernama Tri Lestari;(021) 3915488;Jl Latuharhary 14 Menteng Menteng Jakarta Pusat DKI Jakarta RT 8, RT.8/RW.7, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310;https://santoignatius.sdstrada.sch.id/
815;5;SDS Muhammadiyah I;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Nining Sukamah dan operator yang bernama Deasy Novitasari;(021) 4242381;Jl. Garuda No.33 9, RT.9/RW.4, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610;http://sdmutujakarta.sch.id/
816;5;SDS Kristen Halelluyah;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah dan operator yang bernama Sri Lestari;(021) 6266941;Jl. Industri I No.34-35 1, RT.6/RW.14, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720;-
817;5;SD ADVENT MENTENG;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama REVINA HERAWATI SINAGA dan operator yang bernama Emilia;(021) 31922706;Jl. Sawo No. 27, Menteng , Jakarta Pusat;-
818;5;SD KRISTEN PENABUR 3;Pada tanggal 1 Agustus 1949 didirikan SDK Petang di Jl. Gunung Sahari ( dahulu jalan Tanah Njonja ) No : 90 – A Jakarta Pusat dikepalai oleh Tan King Houw. Satu tahun setelahnya tepatnya tanggal 19 Juli 1950 berdirilah SDK 3 yang lebih dikenal oleh masyarakat sebagai SDK Tanah Njonja. SDK 3 mempunyai jam belajar di pagi hari, dan siang harinya digunakan oleh SDK Petang ( saat ini SDK 6 ) yang mulai bulan Juli tahun 1990 pindah ke komplek Kelapa Gading. Seiring berkembangnya komplek PENABUR Gunung Sahari ( TKK 7, SDK 3, dan SMAK 3 ) dan permasalahan lahan, pengurus yayasan berencana untuk memindahkan TKK 7 dan SDK 3 ke Jalan Gunung Sahari 4 ( berdekatan dengan GKI Gunung Sahari ) untuk kemudian di Jalan Gunung Sahari khusus untuk SMAK 3 Penabur.Tahun 2019 SDK 3 PENABUR pindah gedung sekolah. Dari gedung sekolah lama di Jl. Gunung Sahari Raya no.90A pindah ke gedung sekolah baru Jl. Gunung Sahari IV no. 10. Pada tanggal 24 Agustus 2019 oleh Bapak Adri Lazuardi, S.H. (Ketua BPK PENABUR) dan Bapak Ir. Antono Yuwono (Ketua Umum BPK PENABUR Jakarta).;(021) 4214824;Jl. Gunung Sahari IV No.8 -10 8, RT.6/RW.7, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610;https://bpkpenabur.or.id/jakarta/sdk-3-penabur
819;5;SD SANDIKA;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Natalia Rani Anggriyani dan operator yang bernama Fransiskus Anandayu;(021) 4212457;Jl. Gn. Sahari No.31, RT.8/RW.8, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610;-
820;5;SDS PERGURUAN CIKINI;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Aida Juninda dan operator yang bernama Adi Mochamad Rustamaji;(021) 3146374;Jl. Cikini Raya No.74-76 14, RT.14/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330;http://percik-school.com/
821;5;SDIT INSAN MULIA JAKARTA;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama SANTI LIBRAYANTI OKTADRIANI dan operator yang bernama M. OO Saepul;(021) 47867702;Jl. Kota Baru Bandar Kemayoran RT.010 RW. 07, Kebon Kosong, Kec. Kemayoran, Kota Jakarta Pusat Prov. D.K.I. Jakarta;-
822;5;SDIT KAFFAH ISLAMIC SCHOOL;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Muslih Heriyanto dan operator yang bernama Fiqi Ardiansyah;0895-1633-3211;Jalan Pramuka 16 No.549A, Jalan Pramuka 16 No.549A, RT.15/RW.6, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440;https://kaffahislamic.sch.id/
823;5;SDS Tarsisius I;SD Tarsisius 1 adalah Sekolah Dasar Katolik dengan status akreditasi A (Amat Baik), beralamat di Jl. K.H Hasyim Ashari No. 26, Jakarta Pusat. Tahun pelajaran 2023/2024, selain menyelenggarakan kelas reguler, SD Tarsisius 1 juga menyelenggarakan kelas bilingual untuk kelas 1 dan 2. Kelas Bilingual SD Tarsisius 1, menggunakan ekspatriat teacher dan native speaker teacher. Dilengkapi dengan berbagai fasilitas dan sarana pendukung pembelajaran yang aman, nyaman, dan ramah bagi perkembangan serta kemajuan belajar siswa. Didukung pula dengan suasana belajar yang menyenangkan dan interaktif serta didampingi oleh guru-guru yang sangat kompeten dan berpengalaman dalam hal pendidikan dan pembelajaran siswa.;(021) 6312321;Jl. KH. Hasyim Ashari No.26, RT.3/RW.2, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130;https://www.tarsisius1.sch.id/
824;5;SDS Tri Wibawa;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Turini dan operator yang bernama IMAM FRAYUDHI;(021) 6414962;Jl. Rajawali Selatan I No.30 6, RT.3/RW.3, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720;-
825;5;SDS Merpati;Sekolah ini memakai kurikulum 2013 dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Finna Sharfina Khadijah dan operator yang bernama Nurbaiti Suryaning Endah;(021) 94556264;Jl. Batu Tulis XIII No.18 8, RT.8/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120;-
826;5;SDS ISLAM AL BADAR;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama Sri Mulyani dan operator yang bernama Yarlis;(021) 3152183;Jl. Menteng Sukabumi Gg. 4 No.20 2, RT.1/RW.3, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310;-
827;5;SD KRISTEN NASIONAL ANGLO;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Jaka Sismana dan operator yang bernama DEBORA MARIANTHI;(021) 4208702;Jl. Rawasari Sel. No.10X, RT.15/RW.9, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570;-
828;5;SDIT Al Mubarak;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Ahmad Syafi'i dan operator yang bernama GILANG PRASISTA;(021) 4269246;Jl. Pramuka Sari III No.24, RT.1/RW.8, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570;-
829;5;SD PERKUMPULAN MANDIRI;Sekolah ini memakai kurikulum 2013 dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Diah Samsiati Rajasa;0816-1690-005;Jl. Dr. GSSJ Ratulangi No.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakart;http://www.spm.sch.id/
830;5;SD MELANIA III;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Flora Masta Sinaga dan operator yang bernama Maria Magdalena Retno Cahyaningsih;(021) 42882292;RV79+FRV, Jl. Percetakan Negara, RT.6/RW.1, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520;https://www.melaniajakarta.or.id/2017/09/18/tk-sd-smp-melania/
831;5;SDS KRISTEN KANAAN;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Sugihartono dan operator yang bernama Maria Magdalena Dwi Hariyanti;0895-1543-3222;Jl. Kran Raya No.7 9, RT.15/RW.6, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610;http://kanaan.sch.id/
832;5;SD ISLAM SAID NAUM;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Agung Gustaman dan operator yang bernama NIHLAH;(021) 3161082;Jl. K.H. Mas Mansyur No.25, RT.14/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240;https://sditsaidnaum.sch.id/
833;5;SD SETIA BHAKTI;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Emerentiana Sumidah;(021) 6018581;Jl A Gang I 5 RT 012%2F03 Karang Anyar Sawah Besar Jakarta Pusat DKI Jakarta, RT.12/RW.8, Karang Anyar, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710;https://setiabhakti.sch.id/profile/
834;5;SDS Kristen Ketapang I;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Shandra dan operator yang bernama Suherman;(021) 6322588;Jl. Kyai Haji Zainul Arifin No.35, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130;https://www.skketapang.org/
835;5;SDS Bunda Mulia;Sekolah ini memakai kurikulum 2013 dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Yuanes Sriyono dan operator yang bernama Maria Magdalena Patmiyati;(021) 6323144;Jl. A.M Sangaji No.20 3, RT.6/RW.4, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130;http://sbm.sch.id/
836;5;SD SANTO MIKAEL;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Maria Dwi Lestari dan operator yang bernama Regina Celi Virgona;(021) 4204914;Jl. Inspeksi Kali Sunter No.13 13, RT.13/RW.4, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640;-
837;5;SD Islam AM Fatwa;Sekolah ini memakai kurikulum 2013. Sekolah ini memiliki kepala sekolah yang bernama Arief dan operator yang bernama DEA RIZKY ANANDA;(021) 42878679;Jl. Kramat Pulo Gundul No.2, RT.2/RW.9, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450;-
838;5;SDS TAMAN SISWA;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama Irma Kurniawati dan operator yang bernama Berry Pratama;(021) 4224337;Jl. Garuda No.7 29A, RT.7/RW.4, South Gunung Sahari, Kemayoran, Central Jakarta City, Jakarta 10610;https://tamansiswa-jkt.org/ppdb2020/beranda/sd/
839;5;SDS Strada Pejompongan;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Lesni Katerina dan operator yang bernama Secilia Perma;(021) 53650618;Jl. Administrasi II No.24, RT.1/RW.9, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210;https://pejompongan.sdstrada.sch.id/
840;5;SD MUHAMMADIYAH 50;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama FACHRIZAL dan operator yang bernama RISWANTO;(021) 4211522;Jl. Gg. Masjid Baitussalam No.1, RT.8/RW.7, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630;-
841;5;SD TRISULA PERWARI 2;Sekolah ini memakai kurikulum 2013 dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Sufiyah dan operator yang bernama Tri Hariyanti;(021) 31930633;Jalan Pegangsaan Tengah No.2, RT.10/RW.2, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320;-
